cod_departamento,area_km2,departamento
05,62808.7495789091,
08,3314.458393145956,
11,1622.852979609105,
13,26720.293723918217,
15,23137.997637003467,
17,7425.220160804905,
18,92831.28356498912,
19,31242.79845482637,
20,22565.311403412583,
23,25086.282521447883,
25,22370.3748418036,
27,48353.08675201707,
41,18141.660548532964,
44,20618.623555354454,
47,23135.963978348154,
50,82830.38390480482,
52,31497.5391705445,
54,21856.75427676211,
63,1933.570846682046,
66,3556.7500636778177,
68,30561.565447974335,
70,10591.807182703897,
73,24139.514749270536,
76,20665.64901819091,
81,23851.257062026845,
85,44394.2358535816,
86,25976.28310580467,
88,49.41769318381766,
91,109497.05380374471,
94,71289.3548953424,
95,55543.8675135539,
97,53299.28002878543,
99,100063.37074907562,
