;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Censo Nacional de Población y Vivienda - CNPV 2018;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
PERSONAS (Demográfico);;;;;;;;;;;;;;;;;;;;
Población total censada, por sexo e índices de masculinidad y feminidad, según departamentos, áreas (Total, Cabecera y Centros poblados y Rural disperso) y grupos de edad ;;;;;;;;;;;;;;;;;;;;
Cuadro 1PD Departamental ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;
Grupos de edad, departamento y Áreas  (Total, Cabecera y Centros poblados y Rural disperso) ;;;Total;Sexo;;Índice de  Masculinidad;Índice de Feminidad;;;;;;;;;;;;;
;;;;Hombre;Mujer;;;;;;;;;;;;;;;
;;30 a 34;11.648;5.811;5.837;99,6;100,4;;;;;;;;;;;;;
;;35 a 39;11.068;5.629;5.439;103,5;96,6;;;;;;;;;;;;;
;;40 a 44;10.153;5.233;4.920;106,4;94,0;;;;;;;;;;;;;
;;45 a 49;10.161;5.353;4.808;111,3;89,8;;;;;;;;;;;;;
;;50 a 54;9.404;5.052;4.352;116,1;86,1;;;;;;;;;;;;;
;;55 a 59;7.861;4.121;3.740;110,2;90,8;;;;;;;;;;;;;
;;60 a 64;6.367;3.318;3.049;108,8;91,9;;;;;;;;;;;;;
;;65 a 69;5.576;2.935;2.641;111,1;90,0;;;;;;;;;;;;;
;;70 a 74;4.165;2.214;1.951;113,5;88,1;;;;;;;;;;;;;
;;75 a 79;3.138;1.607;1.531;105,0;95,3;;;;;;;;;;;;;
;;80 a 84;1.985;1.016;969;104,9;95,4;;;;;;;;;;;;;
;;85 y más;1.776;902;874;103,2;96,9;;;;;;;;;;;;;
;Rural disperso;Total;121.917;66.392;55.525;119,6;83,6;;;;;;;;;;;;;
;;0 a 4;10.794;5.545;5.249;105,6;94,7;;;;;;;;;;;;;
;;5 a 9;12.452;6.416;6.036;106,3;94,1;;;;;;;;;;;;;
;;10 a 14;12.732;6.688;6.044;110,7;90,4;;;;;;;;;;;;;
;;15 a 19;11.659;6.304;5.355;117,7;84,9;;;;;;;;;;;;;
;;20 a 24;9.852;5.289;4.563;115,9;86,3;;;;;;;;;;;;;
;;25 a 29;8.841;4.654;4.187;111,2;90,0;;;;;;;;;;;;;
;;30 a 34;7.976;4.221;3.755;112,4;89,0;;;;;;;;;;;;;
;;35 a 39;7.626;4.130;3.496;118,1;84,6;;;;;;;;;;;;;
;;40 a 44;7.040;3.954;3.086;128,1;78,0;;;;;;;;;;;;;
;;45 a 49;6.593;3.743;2.850;131,3;76,1;;;;;;;;;;;;;
;;50 a 54;6.259;3.667;2.592;141,5;70,7;;;;;;;;;;;;;
;;55 a 59;5.208;3.097;2.111;146,7;68,2;;;;;;;;;;;;;
;;60 a 64;4.077;2.368;1.709;138,6;72,2;;;;;;;;;;;;;
;;65 a 69;3.809;2.203;1.606;137,2;72,9;;;;;;;;;;;;;
;;70 a 74;2.769;1.632;1.137;143,5;69,7;;;;;;;;;;;;;
;;75 a 79;2.039;1.201;838;143,3;69,8;;;;;;;;;;;;;
;;80 a 84;1.203;720;483;149,1;67,1;;;;;;;;;;;;;
;;85 y más;988;560;428;130,8;76,4;;;;;;;;;;;;;
73_Tolima;Total;Total;1.228.763;609.017;619.746;98,3;101,8;;;;;;;;;;;;;
;;0 a 4;78.944;40.489;38.455;105,3;95,0;;;;;;;;;;;;;
;;5 a 9;90.081;46.146;43.935;105,0;95,2;;;;;;;;;;;;;
;;10 a 14;101.734;52.313;49.421;105,9;94,5;;;;;;;;;;;;;
;;15 a 19;106.869;55.494;51.375;108,0;92,6;;;;;;;;;;;;;
;;20 a 24;97.869;49.810;48.059;103,6;96,5;;;;;;;;;;;;;
;;25 a 29;88.696;44.636;44.060;101,3;98,7;;;;;;;;;;;;;
;;30 a 34;80.854;39.934;40.920;97,6;102,5;;;;;;;;;;;;;
;;35 a 39;81.705;40.152;41.553;96,6;103,5;;;;;;;;;;;;;
;;40 a 44;74.266;35.878;38.388;93,5;107,0;;;;;;;;;;;;;
;;45 a 49;75.847;36.408;39.439;92,3;108,3;;;;;;;;;;;;;
;;50 a 54;77.716;37.014;40.702;90,9;110,0;;;;;;;;;;;;;
;;55 a 59;70.597;33.734;36.863;91,5;109,3;;;;;;;;;;;;;
;;60 a 64;59.414;28.622;30.792;93,0;107,6;;;;;;;;;;;;;
;;65 a 69;47.832;23.277;24.555;94,8;105,5;;;;;;;;;;;;;
;;70 a 74;36.408;17.659;18.749;94,2;106,2;;;;;;;;;;;;;
;;75 a 79;26.816;12.742;14.074;90,5;110,5;;;;;;;;;;;;;
;;80 a 84;17.969;8.163;9.806;83,2;120,1;;;;;;;;;;;;;
;;85 y más;15.146;6.546;8.600;76,1;131,4;;;;;;;;;;;;;
;Cabecera;Total;871.917;418.555;453.362;92,3;108,3;;;;;;;;;;;;;
;;0 a 4;53.666;27.383;26.283;104,2;96,0;;;;;;;;;;;;;
;;5 a 9;60.523;30.853;29.670;104,0;96,2;;;;;;;;;;;;;
;;10 a 14;67.558;34.406;33.152;103,8;96,4;;;;;;;;;;;;;
;;15 a 19;73.895;37.735;36.160;104,4;95,8;;;;;;;;;;;;;
;;20 a 24;72.653;36.406;36.247;100,4;99,6;;;;;;;;;;;;;
;;25 a 29;66.428;33.072;33.356;99,1;100,9;;;;;;;;;;;;;
;;30 a 34;59.759;29.121;30.638;95,0;105,2;;;;;;;;;;;;;
;;35 a 39;60.276;29.056;31.220;93,1;107,4;;;;;;;;;;;;;
;;40 a 44;53.441;24.942;28.499;87,5;114,3;;;;;;;;;;;;;
;;45 a 49;53.896;24.723;29.173;84,7;118,0;;;;;;;;;;;;;
;;50 a 54;55.332;24.772;30.560;81,1;123,4;;;;;;;;;;;;;
;;55 a 59;50.473;22.657;27.816;81,5;122,8;;;;;;;;;;;;;
;;60 a 64;42.085;18.857;23.228;81,2;123,2;;;;;;;;;;;;;
;;65 a 69;33.724;15.097;18.627;81,0;123,4;;;;;;;;;;;;;
;;70 a 74;25.456;11.368;14.088;80,7;123,9;;;;;;;;;;;;;
;;75 a 79;18.692;8.175;10.517;77,7;128,6;;;;;;;;;;;;;
;;80 a 84;12.807;5.410;7.397;73,1;136,7;;;;;;;;;;;;;
;;85 y más;11.253;4.522;6.731;67,2;148,9;;;;;;;;;;;;;
;Centro Poblado;Total;58.203;29.220;28.983;100,8;99,2;;;;;;;;;;;;;
;;0 a 4;3.906;2.044;1.862;109,8;91,1;;;;;;;;;;;;;
;;5 a 9;4.484;2.288;2.196;104,2;96,0;;;;;;;;;;;;;
;;10 a 14;5.300;2.724;2.576;105,7;94,6;;;;;;;;;;;;;
;;15 a 19;5.187;2.675;2.512;106,5;93,9;;;;;;;;;;;;;
;;20 a 24;4.181;2.148;2.033;105,7;94,6;;;;;;;;;;;;;
;;25 a 29;3.611;1.788;1.823;98,1;102,0;;;;;;;;;;;;;
;;30 a 34;3.437;1.657;1.780;93,1;107,4;;;;;;;;;;;;;
;;35 a 39;3.569;1.742;1.827;95,3;104,9;;;;;;;;;;;;;
;;40 a 44;3.433;1.673;1.760;95,1;105,2;;;;;;;;;;;;;
;;45 a 49;3.657;1.802;1.855;97,1;102,9;;;;;;;;;;;;;
;;50 a 54;3.791;1.872;1.919;97,6;102,5;;;;;;;;;;;;;
;;55 a 59;3.316;1.668;1.648;101,2;98,8;;;;;;;;;;;;;
;;60 a 64;2.910;1.431;1.479;96,8;103,4;;;;;;;;;;;;;
;;65 a 69;2.450;1.271;1.179;107,8;92,8;;;;;;;;;;;;;
;;70 a 74;1.891;973;918;106,0;94,3;;;;;;;;;;;;;
;;75 a 79;1.420;687;733;93,7;106,7;;;;;;;;;;;;;
;;80 a 84;933;432;501;86,2;116,0;;;;;;;;;;;;;
;;85 y más;727;345;382;90,3;110,7;;;;;;;;;;;;;
;Rural disperso;Total;298.643;161.242;137.401;117,4;85,2;;;;;;;;;;;;;
;;0 a 4;21.372;11.062;10.310;107,3;93,2;;;;;;;;;;;;;
;;5 a 9;25.074;13.005;12.069;107,8;92,8;;;;;;;;;;;;;
;;10 a 14;28.876;15.183;13.693;110,9;90,2;;;;;;;;;;;;;
;;15 a 19;27.787;15.084;12.703;118,7;84,2;;;;;;;;;;;;;
;;20 a 24;21.035;11.256;9.779;115,1;86,9;;;;;;;;;;;;;
;;25 a 29;18.657;9.776;8.881;110,1;90,8;;;;;;;;;;;;;
;;30 a 34;17.658;9.156;8.502;107,7;92,9;;;;;;;;;;;;;
;;35 a 39;17.860;9.354;8.506;110,0;90,9;;;;;;;;;;;;;
;;40 a 44;17.392;9.263;8.129;114,0;87,8;;;;;;;;;;;;;
;;45 a 49;18.294;9.883;8.411;117,5;85,1;;;;;;;;;;;;;
;;50 a 54;18.593;10.370;8.223;126,1;79,3;;;;;;;;;;;;;
;;55 a 59;16.808;9.409;7.399;127,2;78,6;;;;;;;;;;;;;
;;60 a 64;14.419;8.334;6.085;137,0;73,0;;;;;;;;;;;;;
;;65 a 69;11.658;6.909;4.749;145,5;68,7;;;;;;;;;;;;;
;;70 a 74;9.061;5.318;3.743;142,1;70,4;;;;;;;;;;;;;
;;75 a 79;6.704;3.880;2.824;137,4;72,8;;;;;;;;;;;;;
;;80 a 84;4.229;2.321;1.908;121,6;82,2;;;;;;;;;;;;;
;;85 y más;3.166;1.679;1.487;112,9;88,6;;;;;;;;;;;;;
76_Valle del Cauca;Total;Total;3.789.874;1.800.614;1.989.260;90,5;110,5;;;;;;;;;;;;;
;;0 a 4;217.172;111.269;105.903;105,1;95,2;;;;;;;;;;;;;
;;5 a 9;243.519;124.419;119.100;104,5;95,7;;;;;;;;;;;;;
;;10 a 14;271.616;138.549;133.067;104,1;96,0;;;;;;;;;;;;;
;;15 a 19;300.093;151.474;148.619;101,9;98,1;;;;;;;;;;;;;
;;20 a 24;324.147;160.436;163.711;98,0;102,0;;;;;;;;;;;;;
;;25 a 29;308.447;149.790;158.657;94,4;105,9;;;;;;;;;;;;;
;;30 a 34;279.863;134.472;145.391;92,5;108,1;;;;;;;;;;;;;
;;35 a 39;276.955;130.517;146.438;89,1;112,2;;;;;;;;;;;;;
;;40 a 44;244.328;113.428;130.900;86,7;115,4;;;;;;;;;;;;;
;;45 a 49;245.150;112.325;132.825;84,6;118,3;;;;;;;;;;;;;
;;50 a 54;247.585;112.604;134.981;83,4;119,9;;;;;;;;;;;;;
;;55 a 59;220.898;98.939;121.959;81,1;123,3;;;;;;;;;;;;;
;;60 a 64;184.014;80.733;103.281;78,2;127,9;;;;;;;;;;;;;
;;65 a 69;141.912;62.532;79.380;78,8;126,9;;;;;;;;;;;;;
;;70 a 74;105.278;46.106;59.172;77,9;128,3;;;;;;;;;;;;;
;;75 a 79;77.792;33.169;44.623;74,3;134,5;;;;;;;;;;;;;
;;80 a 84;53.746;21.802;31.944;68,3;146,5;;;;;;;;;;;;;
;;85 y más;47.359;18.050;29.309;61,6;162,4;;;;;;;;;;;;;
;Cabecera;Total;3.242.187;1.522.399;1.719.788;88,5;113,0;;;;;;;;;;;;;
;;0 a 4;182.156;93.260;88.896;104,9;95,3;;;;;;;;;;;;;
;;5 a 9;203.502;103.743;99.759;104,0;96,2;;;;;;;;;;;;;
;;10 a 14;226.677;115.165;111.512;103,3;96,8;;;;;;;;;;;;;
;;15 a 19;253.453;127.223;126.230;100,8;99,2;;;;;;;;;;;;;
;;20 a 24;278.851;137.202;141.649;96,9;103,2;;;;;;;;;;;;;
;;25 a 29;266.951;128.913;138.038;93,4;107,1;;;;;;;;;;;;;
;;30 a 34;241.896;115.615;126.281;91,6;109,2;;;;;;;;;;;;;
;;35 a 39;238.428;111.641;126.787;88,1;113,6;;;;;;;;;;;;;
;;40 a 44;209.487;96.291;113.196;85,1;117,6;;;;;;;;;;;;;
;;45 a 49;209.754;94.734;115.020;82,4;121,4;;;;;;;;;;;;;
;;50 a 54;213.054;95.320;117.734;81,0;123,5;;;;;;;;;;;;;
;;55 a 59;190.339;83.488;106.851;78,1;128,0;;;;;;;;;;;;;
;;60 a 64;158.432;67.527;90.905;74,3;134,6;;;;;;;;;;;;;
;;65 a 69;122.131;52.129;70.002;74,5;134,3;;;;;;;;;;;;;
;;70 a 74;91.010;38.634;52.376;73,8;135,6;;;;;;;;;;;;;
;;75 a 79;67.399;27.760;39.639;70,0;142,8;;;;;;;;;;;;;
;;80 a 84;46.942;18.401;28.541;64,5;155,1;;;;;;;;;;;;;
;;85 y más;41.725;15.353;26.372;58,2;171,8;;;;;;;;;;;;;
;Centro Poblado;Total;334.019;164.771;169.248;97,4;102,7;;;;;;;;;;;;;
;;0 a 4;21.095;10.854;10.241;106,0;94,4;;;;;;;;;;;;;
;;5 a 9;23.719;12.196;11.523;105,8;94,5;;;;;;;;;;;;;
;;10 a 14;26.526;13.641;12.885;105,9;94,5;;;;;;;;;;;;;
;;15 a 19;28.033;14.249;13.784;103,4;96,7;;;;;;;;;;;;;
;;20 a 24;28.770;14.481;14.289;101,3;98,7;;;;;;;;;;;;;
;;25 a 29;26.775;13.416;13.359;100,4;99,6;;;;;;;;;;;;;
;;30 a 34;24.307;11.940;12.367;96,5;103,6;;;;;;;;;;;;;
;;35 a 39;24.424;11.655;12.769;91,3;109,6;;;;;;;;;;;;;
;;40 a 44;21.681;10.438;11.243;92,8;107,7;;;;;;;;;;;;;
;;45 a 49;21.778;10.436;11.342;92,0;108,7;;;;;;;;;;;;;
;;50 a 54;20.882;9.915;10.967;90,4;110,6;;;;;;;;;;;;;
;;55 a 59;17.918;8.499;9.419;90,2;110,8;;;;;;;;;;;;;
;;60 a 64;14.662;7.067;7.595;93,0;107,5;;;;;;;;;;;;;
;;65 a 69;11.356;5.478;5.878;93,2;107,3;;;;;;;;;;;;;
;;70 a 74;8.335;4.018;4.317;93,1;107,4;;;;;;;;;;;;;
;;75 a 79;6.145;2.965;3.180;93,2;107,3;;;;;;;;;;;;;
;;80 a 84;4.121;1.921;2.200;87,3;114,5;;;;;;;;;;;;;
;;85 y más;3.492;1.602;1.890;84,8;118,0;;;;;;;;;;;;;
;Rural disperso;Total;213.668;113.444;100.224;113,2;88,3;;;;;;;;;;;;;
;;0 a 4;13.921;7.155;6.766;105,7;94,6;;;;;;;;;;;;;
;;5 a 9;16.298;8.480;7.818;108,5;92,2;;;;;;;;;;;;;
;;10 a 14;18.413;9.743;8.670;112,4;89,0;;;;;;;;;;;;;
;;15 a 19;18.607;10.002;8.605;116,2;86,0;;;;;;;;;;;;;
;;20 a 24;16.526;8.753;7.773;112,6;88,8;;;;;;;;;;;;;
;;25 a 29;14.721;7.461;7.260;102,8;97,3;;;;;;;;;;;;;
;;30 a 34;13.660;6.917;6.743;102,6;97,5;;;;;;;;;;;;;
;;35 a 39;14.103;7.221;6.882;104,9;95,3;;;;;;;;;;;;;
;;40 a 44;13.160;6.699;6.461;103,7;96,4;;;;;;;;;;;;;
;;45 a 49;13.618;7.155;6.463;110,7;90,3;;;;;;;;;;;;;
;;50 a 54;13.649;7.369;6.280;117,3;85,2;;;;;;;;;;;;;
;;55 a 59;12.641;6.952;5.689;122,2;81,8;;;;;;;;;;;;;
;;60 a 64;10.920;6.139;4.781;128,4;77,9;;;;;;;;;;;;;
;;65 a 69;8.425;4.925;3.500;140,7;71,1;;;;;;;;;;;;;
;;70 a 74;5.933;3.454;2.479;139,3;71,8;;;;;;;;;;;;;
;;75 a 79;4.248;2.444;1.804;135,5;73,8;;;;;;;;;;;;;
;;80 a 84;2.683;1.480;1.203;123,0;81,3;;;;;;;;;;;;;
;;85 y más;2.142;1.095;1.047;104,6;95,6;;;;;;;;;;;;;
81_Arauca;Total;Total;239.503;121.060;118.443;102,2;97,8;;;;;;;;;;;;;
;;0 a 4;20.938;10.738;10.200;105,3;95,0;;;;;;;;;;;;;
;;5 a 9;22.546;11.406;11.140;102,4;97,7;;;;;;;;;;;;;
;;10 a 14;24.170;12.460;11.710;106,4;94,0;;;;;;;;;;;;;
;;15 a 19;23.750;12.483;11.267;110,8;90,3;;;;;;;;;;;;;
;;20 a 24;22.823;11.543;11.280;102,3;97,7;;;;;;;;;;;;;
;;25 a 29;21.076;10.604;10.472;101,3;98,8;;;;;;;;;;;;;
;;30 a 34;18.407;9.164;9.243;99,1;100,9;;;;;;;;;;;;;
;;35 a 39;16.960;8.427;8.533;98,8;101,3;;;;;;;;;;;;;
;;40 a 44;14.091;6.781;7.310;92,8;107,8;;;;;;;;;;;;;
;;45 a 49;12.987;6.275;6.712;93,5;107,0;;;;;;;;;;;;;
;;50 a 54;11.519;5.648;5.871;96,2;103,9;;;;;;;;;;;;;
;;55 a 59;9.318;4.610;4.708;97,9;102,1;;;;;;;;;;;;;
;;60 a 64;6.913;3.674;3.239;113,4;88,2;;;;;;;;;;;;;
;;65 a 69;4.974;2.577;2.397;107,5;93,0;;;;;;;;;;;;;
;;70 a 74;3.605;1.913;1.692;113,1;88,4;;;;;;;;;;;;;
;;75 a 79;2.683;1.395;1.288;108,3;92,3;;;;;;;;;;;;;
;;80 a 84;1.589;796;793;100,4;99,6;;;;;;;;;;;;;
;;85 y más;1.154;566;588;96,3;103,9;;;;;;;;;;;;;
;Cabecera;Total;160.147;78.357;81.790;95,8;104,4;;;;;;;;;;;;;
;;0 a 4;13.701;7.054;6.647;106,1;94,2;;;;;;;;;;;;;
;;5 a 9;14.569;7.322;7.247;101,0;99,0;;;;;;;;;;;;;
;;10 a 14;15.353;7.769;7.584;102,4;97,6;;;;;;;;;;;;;
;;15 a 19;15.508;7.920;7.588;104,4;95,8;;;;;;;;;;;;;
;;20 a 24;15.648;7.714;7.934;97,2;102,9;;;;;;;;;;;;;
;;25 a 29;14.831;7.236;7.595;95,3;105,0;;;;;;;;;;;;;
;;30 a 34;12.768;6.217;6.551;94,9;105,4;;;;;;;;;;;;;
;;35 a 39;11.527;5.567;5.960;93,4;107,1;;;;;;;;;;;;;
;;40 a 44;9.449;4.352;5.097;85,4;117,1;;;;;;;;;;;;;
;;45 a 49;8.771;3.930;4.841;81,2;123,2;;;;;;;;;;;;;
;;50 a 54;7.829;3.606;4.223;85,4;117,1;;;;;;;;;;;;;
;;55 a 59;6.352;2.985;3.367;88,7;112,8;;;;;;;;;;;;;
;;60 a 64;4.583;2.302;2.281;100,9;99,1;;;;;;;;;;;;;
;;65 a 69;3.215;1.532;1.683;91,0;109,9;;;;;;;;;;;;;
;;70 a 74;2.389;1.149;1.240;92,7;107,9;;;;;;;;;;;;;
;;75 a 79;1.750;823;927;88,8;112,6;;;;;;;;;;;;;
;;80 a 84;1.081;494;587;84,2;118,8;;;;;;;;;;;;;
;;85 y más;823;385;438;87,9;113,8;;;;;;;;;;;;;
;Centro Poblado;Total;21.764;11.122;10.642;104,5;95,7;;;;;;;;;;;;;
;;0 a 4;2.083;1.067;1.016;105,0;95,2;;;;;;;;;;;;;
;;5 a 9;2.271;1.139;1.132;100,6;99,4;;;;;;;;;;;;;
;;10 a 14;2.507;1.317;1.190;110,7;90,4;;;;;;;;;;;;;
;;15 a 19;2.250;1.188;1.062;111,9;89,4;;;;;;;;;;;;;
;;20 a 24;1.988;967;1.021;94,7;105,6;;;;;;;;;;;;;
;;25 a 29;1.870;928;942;98,5;101,5;;;;;;;;;;;;;
;;30 a 34;1.666;834;832;100,2;99,8;;;;;;;;;;;;;
;;35 a 39;1.575;781;794;98,4;101,7;;;;;;;;;;;;;
;;40 a 44;1.266;615;651;94,5;105,9;;;;;;;;;;;;;
;;45 a 49;1.061;528;533;99,1;100,9;;;;;;;;;;;;;
;;50 a 54;944;508;436;116,5;85,8;;;;;;;;;;;;;
;;55 a 59;694;354;340;104,1;96,0;;;;;;;;;;;;;
;;60 a 64;514;280;234;119,7;83,6;;;;;;;;;;;;;
;;65 a 69;381;219;162;135,2;74,0;;;;;;;;;;;;;
;;70 a 74;246;145;101;143,6;69,7;;;;;;;;;;;;;
;;75 a 79;244;139;105;132,4;75,5;;;;;;;;;;;;;
;;80 a 84;121;68;53;128,3;77,9;;;;;;;;;;;;;
;;85 y más;83;45;38;118,4;84,4;;;;;;;;;;;;;
;Rural disperso;Total;57.592;31.581;26.011;121,4;82,4;;;;;;;;;;;;;
;;0 a 4;5.154;2.617;2.537;103,2;96,9;;;;;;;;;;;;;
;;5 a 9;5.706;2.945;2.761;106,7;93,8;;;;;;;;;;;;;
;;10 a 14;6.310;3.374;2.936;114,9;87,0;;;;;;;;;;;;;
;;15 a 19;5.992;3.375;2.617;129,0;77,5;;;;;;;;;;;;;
;;20 a 24;5.187;2.862;2.325;123,1;81,2;;;;;;;;;;;;;
;;25 a 29;4.375;2.440;1.935;126,1;79,3;;;;;;;;;;;;;
;;30 a 34;3.973;2.113;1.860;113,6;88,0;;;;;;;;;;;;;
;;35 a 39;3.858;2.079;1.779;116,9;85,6;;;;;;;;;;;;;
;;40 a 44;3.376;1.814;1.562;116,1;86,1;;;;;;;;;;;;;
;;45 a 49;3.155;1.817;1.338;135,8;73,6;;;;;;;;;;;;;
;;50 a 54;2.746;1.534;1.212;126,6;79,0;;;;;;;;;;;;;
;;55 a 59;2.272;1.271;1.001;127,0;78,8;;;;;;;;;;;;;
;;60 a 64;1.816;1.092;724;150,8;66,3;;;;;;;;;;;;;
;;65 a 69;1.378;826;552;149,6;66,8;;;;;;;;;;;;;
;;70 a 74;970;619;351;176,4;56,7;;;;;;;;;;;;;
;;75 a 79;689;433;256;169,1;59,1;;;;;;;;;;;;;
;;80 a 84;387;234;153;152,9;65,4;;;;;;;;;;;;;
;;85 y más;248;136;112;121,4;82,4;;;;;;;;;;;;;
85_Casanare;Total;Total;379.892;192.020;187.872;102,2;97,8;;;;;;;;;;;;;
;;0 a 4;31.151;15.981;15.170;105,3;94,9;;;;;;;;;;;;;
;;5 a 9;33.775;17.503;16.272;107,6;93,0;;;;;;;;;;;;;
;;10 a 14;36.179;18.407;17.772;103,6;96,6;;;;;;;;;;;;;
;;15 a 19;36.491;18.733;17.758;105,5;94,8;;;;;;;;;;;;;
;;20 a 24;34.946;17.665;17.281;102,2;97,8;;;;;;;;;;;;;
;;25 a 29;32.997;16.274;16.723;97,3;102,8;;;;;;;;;;;;;
;;30 a 34;31.331;15.502;15.829;97,9;102,1;;;;;;;;;;;;;
;;35 a 39;29.032;14.227;14.805;96,1;104,1;;;;;;;;;;;;;
;;40 a 44;25.393;12.686;12.707;99,8;100,2;;;;;;;;;;;;;
;;45 a 49;22.461;11.391;11.070;102,9;97,2;;;;;;;;;;;;;
;;50 a 54;19.012;9.759;9.253;105,5;94,8;;;;;;;;;;;;;
;;55 a 59;14.937;7.600;7.337;103,6;96,5;;;;;;;;;;;;;
;;60 a 64;11.292;5.803;5.489;105,7;94,6;;;;;;;;;;;;;
;;65 a 69;7.599;3.945;3.654;108,0;92,6;;;;;;;;;;;;;
;;70 a 74;5.442;2.808;2.634;106,6;93,8;;;;;;;;;;;;;
;;75 a 79;3.716;1.857;1.859;99,9;100,1;;;;;;;;;;;;;
;;80 a 84;2.396;1.095;1.301;84,2;118,8;;;;;;;;;;;;;
;;85 y más;1.742;784;958;81,8;122,2;;;;;;;;;;;;;
;Cabecera;Total;276.014;135.396;140.618;96,3;103,9;;;;;;;;;;;;;
;;0 a 4;22.418;11.375;11.043;103,0;97,1;;;;;;;;;;;;;
;;5 a 9;24.283;12.567;11.716;107,3;93,2;;;;;;;;;;;;;
;;10 a 14;25.787;12.918;12.869;100,4;99,6;;;;;;;;;;;;;
;;15 a 19;26.367;13.200;13.167;100,3;99,8;;;;;;;;;;;;;
;;20 a 24;26.101;12.791;13.310;96,1;104,1;;;;;;;;;;;;;
;;25 a 29;25.055;11.948;13.107;91,2;109,7;;;;;;;;;;;;;
;;30 a 34;23.908;11.525;12.383;93,1;107,4;;;;;;;;;;;;;
;;35 a 39;21.986;10.416;11.570;90,0;111,1;;;;;;;;;;;;;
;;40 a 44;18.884;9.120;9.764;93,4;107,1;;;;;;;;;;;;;
;;45 a 49;16.291;7.920;8.371;94,6;105,7;;;;;;;;;;;;;
;;50 a 54;13.480;6.596;6.884;95,8;104,4;;;;;;;;;;;;;
;;55 a 59;10.129;4.904;5.225;93,9;106,5;;;;;;;;;;;;;
;;60 a 64;7.588;3.675;3.913;93,9;106,5;;;;;;;;;;;;;
;;65 a 69;5.001;2.417;2.584;93,5;106,9;;;;;;;;;;;;;
;;70 a 74;3.497;1.695;1.802;94,1;106,3;;;;;;;;;;;;;
;;75 a 79;2.419;1.131;1.288;87,8;113,9;;;;;;;;;;;;;
;;80 a 84;1.637;707;930;76,0;131,5;;;;;;;;;;;;;
;;85 y más;1.183;491;692;71,0;140,9;;;;;;;;;;;;;
;Centro Poblado;Total;17.981;9.203;8.778;104,8;95,4;;;;;;;;;;;;;
;;0 a 4;1.483;764;719;106,3;94,1;;;;;;;;;;;;;
;;5 a 9;1.686;868;818;106,1;94,2;;;;;;;;;;;;;
;;10 a 14;1.975;1.038;937;110,8;90,3;;;;;;;;;;;;;
;;15 a 19;1.851;953;898;106,1;94,2;;;;;;;;;;;;;
;;20 a 24;1.560;796;764;104,2;96,0;;;;;;;;;;;;;
;;25 a 29;1.368;708;660;107,3;93,2;;;;;;;;;;;;;
;;30 a 34;1.340;636;704;90,3;110,7;;;;;;;;;;;;;
;;35 a 39;1.261;600;661;90,8;110,2;;;;;;;;;;;;;
;;40 a 44;1.107;550;557;98,7;101,3;;;;;;;;;;;;;
;;45 a 49;1.047;544;503;108,2;92,5;;;;;;;;;;;;;
;;50 a 54;906;468;438;106,8;93,6;;;;;;;;;;;;;
;;55 a 59;744;421;323;130,3;76,7;;;;;;;;;;;;;
;;60 a 64;604;319;285;111,9;89,3;;;;;;;;;;;;;
;;65 a 69;348;199;149;133,6;74,9;;;;;;;;;;;;;
;;70 a 74;274;141;133;106,0;94,3;;;;;;;;;;;;;
;;75 a 79;192;95;97;97,9;102,1;;;;;;;;;;;;;
;;80 a 84;124;51;73;69,9;143,1;;;;;;;;;;;;;
;;85 y más;111;52;59;88,1;113,5;;;;;;;;;;;;;
;Rural disperso;Total;85.897;47.421;38.476;123,2;81,1;;;;;;;;;;;;;
;;0 a 4;7.250;3.842;3.408;112,7;88,7;;;;;;;;;;;;;
;;5 a 9;7.806;4.068;3.738;108,8;91,9;;;;;;;;;;;;;
;;10 a 14;8.417;4.451;3.966;112,2;89,1;;;;;;;;;;;;;
;;15 a 19;8.273;4.580;3.693;124,0;80,6;;;;;;;;;;;;;
;;20 a 24;7.285;4.078;3.207;127,2;78,6;;;;;;;;;;;;;
;;25 a 29;6.574;3.618;2.956;122,4;81,7;;;;;;;;;;;;;
;;30 a 34;6.083;3.341;2.742;121,8;82,1;;;;;;;;;;;;;
;;35 a 39;5.785;3.211;2.574;124,7;80,2;;;;;;;;;;;;;
;;40 a 44;5.402;3.016;2.386;126,4;79,1;;;;;;;;;;;;;
;;45 a 49;5.123;2.927;2.196;133,3;75,0;;;;;;;;;;;;;
;;50 a 54;4.626;2.695;1.931;139,6;71,7;;;;;;;;;;;;;
;;55 a 59;4.064;2.275;1.789;127,2;78,6;;;;;;;;;;;;;
;;60 a 64;3.100;1.809;1.291;140,1;71,4;;;;;;;;;;;;;
;;65 a 69;2.250;1.329;921;144,3;69,3;;;;;;;;;;;;;
;;70 a 74;1.671;972;699;139,1;71,9;;;;;;;;;;;;;
;;75 a 79;1.105;631;474;133,1;75,1;;;;;;;;;;;;;
;;80 a 84;635;337;298;113,1;88,4;;;;;;;;;;;;;
;;85 y más;448;241;207;116,4;85,9;;;;;;;;;;;;;
86_Putumayo;Total;Total;283.197;142.900;140.297;101,9;98,2;;;;;;;;;;;;;
