;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Censo Nacional de Población y Vivienda - CNPV 2018;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
PERSONAS (Demográfico);;;;;;;;;;;;;;;;;;;;
Población total censada, por sexo e índices de masculinidad y feminidad, según departamentos, áreas (Total, Cabecera y Centros poblados y Rural disperso) y grupos de edad ;;;;;;;;;;;;;;;;;;;;
Cuadro 1PD Departamental ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;
Grupos de edad, departamento y Áreas  (Total, Cabecera y Centros poblados y Rural disperso) ;;;Total;Sexo;;Índice de  Masculinidad;Índice de Feminidad;;;;;;;;;;;;;
;;;;Hombre;Mujer;;;;;;;;;;;;;;;
;;55 a 59;2.988;1.439;1.549;92,9;107,6;;;;;;;;;;;;;
;;60 a 64;2.753;1.333;1.420;93,9;106,5;;;;;;;;;;;;;
;;65 a 69;2.061;1.014;1.047;96,8;103,3;;;;;;;;;;;;;
;;70 a 74;1.690;830;860;96,5;103,6;;;;;;;;;;;;;
;;75 a 79;1.109;562;547;102,7;97,3;;;;;;;;;;;;;
;;80 a 84;705;357;348;102,6;97,5;;;;;;;;;;;;;
;;85 y más;539;274;265;103,4;96,7;;;;;;;;;;;;;
;Rural disperso;Total;123.984;65.331;58.653;111,4;89,8;;;;;;;;;;;;;
;;0 a 4;9.732;4.963;4.769;104,1;96,1;;;;;;;;;;;;;
;;5 a 9;10.495;5.372;5.123;104,9;95,4;;;;;;;;;;;;;
;;10 a 14;11.161;5.796;5.365;108,0;92,6;;;;;;;;;;;;;
;;15 a 19;11.514;6.134;5.380;114,0;87,7;;;;;;;;;;;;;
;;20 a 24;9.277;4.850;4.427;109,6;91,3;;;;;;;;;;;;;
;;25 a 29;8.364;4.236;4.128;102,6;97,5;;;;;;;;;;;;;
;;30 a 34;7.711;3.852;3.859;99,8;100,2;;;;;;;;;;;;;
;;35 a 39;8.233;4.230;4.003;105,7;94,6;;;;;;;;;;;;;
;;40 a 44;7.397;3.836;3.561;107,7;92,8;;;;;;;;;;;;;
;;45 a 49;7.460;3.930;3.530;111,3;89,8;;;;;;;;;;;;;
;;50 a 54;7.461;4.038;3.423;118,0;84,8;;;;;;;;;;;;;
;;55 a 59;6.803;3.702;3.101;119,4;83,8;;;;;;;;;;;;;
;;60 a 64;5.962;3.377;2.585;130,6;76,5;;;;;;;;;;;;;
;;65 a 69;4.566;2.597;1.969;131,9;75,8;;;;;;;;;;;;;
;;70 a 74;3.190;1.872;1.318;142,0;70,4;;;;;;;;;;;;;
;;75 a 79;2.192;1.231;961;128,1;78,1;;;;;;;;;;;;;
;;80 a 84;1.360;743;617;120,4;83,0;;;;;;;;;;;;;
;;85 y más;1.106;572;534;107,1;93,4;;;;;;;;;;;;;
68_Santander;Total;Total;2.008.841;983.439;1.025.402;95,9;104,3;;;;;;;;;;;;;
;;0 a 4;134.996;69.337;65.659;105,6;94,7;;;;;;;;;;;;;
;;5 a 9;147.272;75.427;71.845;105,0;95,3;;;;;;;;;;;;;
;;10 a 14;156.082;80.071;76.011;105,3;94,9;;;;;;;;;;;;;
;;15 a 19;164.315;84.576;79.739;106,1;94,3;;;;;;;;;;;;;
;;20 a 24;174.102;88.300;85.802;102,9;97,2;;;;;;;;;;;;;
;;25 a 29;163.108;81.459;81.649;99,8;100,2;;;;;;;;;;;;;
;;30 a 34;151.165;75.240;75.925;99,1;100,9;;;;;;;;;;;;;
;;35 a 39;146.553;71.999;74.554;96,6;103,5;;;;;;;;;;;;;
;;40 a 44;129.158;62.098;67.060;92,6;108,0;;;;;;;;;;;;;
;;45 a 49;127.695;60.305;67.390;89,5;111,7;;;;;;;;;;;;;
;;50 a 54;124.451;58.325;66.126;88,2;113,4;;;;;;;;;;;;;
;;55 a 59;107.152;49.735;57.417;86,6;115,4;;;;;;;;;;;;;
;;60 a 64;85.641;39.570;46.071;85,9;116,4;;;;;;;;;;;;;
;;65 a 69;66.529;30.964;35.565;87,1;114,9;;;;;;;;;;;;;
;;70 a 74;49.281;22.212;27.069;82,1;121,9;;;;;;;;;;;;;
;;75 a 79;36.407;15.797;20.610;76,6;130,5;;;;;;;;;;;;;
;;80 a 84;24.101;10.006;14.095;71,0;140,9;;;;;;;;;;;;;
;;85 y más;20.833;8.018;12.815;62,6;159,8;;;;;;;;;;;;;
;Cabecera;Total;1.542.745;735.179;807.566;91,0;109,8;;;;;;;;;;;;;
