anio,codigo_depto,departamento,pib_const_2015_miles_mm
2009,41,HUILA,6309.12
2009,44,LA GUAJIRA,4973.85
2009,47,MAGDALENA,4386.16
2009,50,META,12200.24
2009,52,NARIÑO,4253.39
2009,54,NORTE DE SANTANDER,5489.73
2009,86,PUTUMAYO,1489.52
2009,63,QUINDÍO,2618.51
2009,66,RISARALDA,5356.25
2009,88,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",214.60
2009,68,SANTANDER,28223.08
2009,70,SUCRE,2384.83
2009,73,TOLIMA,8548.69
2009,76,VALLE DEL CAUCA,35841.02
2009,97,VAUPÉS,65.20
2009,99,VICHADA,273.76
2010,91,AMAZONAS,192.84
2010,05,ANTIOQUIA,51335.29
2010,81,ARAUCA,4138.63
2010,08,ATLÁNTICO,12808.24
2010,11,BOGOTÁ D.C.,87389.63
2010,13,BOLÍVAR,12523.46
2010,15,BOYACÁ,9763.48
2010,17,CALDAS,5564.88
2010,18,CAQUETÁ,1203.25
2010,85,CASANARE,7127.04
2010,19,CAUCA,5842.50
2010,20,CESAR,7626.74
2010,27,CHOCÓ,2624.94
2010,25,CUNDINAMARCA,23704.96
2010,23,CÓRDOBA,5439.25
2010,94,GUAINÍA,126.01
2010,95,GUAVIARE,241.79
2010,41,HUILA,6714.68
2010,44,LA GUAJIRA,4955.77
2010,47,MAGDALENA,4366.38
2010,50,META,16231.48
2010,52,NARIÑO,4267.03
2010,54,NORTE DE SANTANDER,4236.20
2010,86,PUTUMAYO,1751.33
2010,63,QUINDÍO,2687.98
2010,66,RISARALDA,5364.01
2010,88,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",216.37
2010,68,SANTANDER,30170.96
2010,70,SUCRE,2400.69
2010,73,TOLIMA,8350.95
2010,76,VALLE DEL CAUCA,36211.33
2010,97,VAUPÉS,62.56
2010,99,VICHADA,248.11
2011,91,AMAZONAS,193.51
2011,05,ANTIOQUIA,55934.04
2011,81,ARAUCA,3926.77
2011,08,ATLÁNTICO,13661.96
2011,11,BOGOTÁ D.C.,92463.52
2011,13,BOLÍVAR,13852.49
2011,15,BOYACÁ,10833.98
2011,17,CALDAS,5488.33
2011,18,CAQUETÁ,1267.37
2011,85,CASANARE,8264.66
2011,19,CAUCA,6037.35
2011,20,CESAR,8587.63
2011,27,CHOCÓ,2885.16
2011,25,CUNDINAMARCA,26299.63
2011,23,CÓRDOBA,5729.39
2011,94,GUAINÍA,126.01
2011,95,GUAVIARE,249.80
2011,41,HUILA,7068.15
2011,44,LA GUAJIRA,5236.70
2011,47,MAGDALENA,4507.18
2011,50,META,20400.26
2011,52,NARIÑO,4551.21
2011,54,NORTE DE SANTANDER,5517.55
2011,86,PUTUMAYO,1827.78
2011,63,QUINDÍO,2947.32
2011,66,RISARALDA,5394.92
2011,88,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",223.92
2011,68,SANTANDER,31480.15
2011,70,SUCRE,2538.24
2011,73,TOLIMA,8704.89
2011,76,VALLE DEL CAUCA,37698.81
2011,97,VAUPÉS,67.21
2011,99,VICHADA,242.95
2012,91,AMAZONAS,193.48
2012,05,ANTIOQUIA,38785.45
2012,81,ARAUCA,3651.86
2012,08,ATLÁNTICO,14808.11
2012,11,BOGOTÁ D.C.,94935.61
2012,13,BOLÍVAR,14180.12
2012,15,BOYACÁ,11217.69
2012,17,CALDAS,5509.65
2012,18,CAQUETÁ,1507.51
2012,85,CASANARE,8796.53
2012,19,CAUCA,6709.11
2012,20,CESAR,9215.86
2012,27,CHOCÓ,2651.88
2012,25,CUNDINAMARCA,27013.67
2012,23,CÓRDOBA,6161.24
2012,94,GUAINÍA,128.33
2012,95,GUAVIARE,259.36
2012,41,HUILA,7318.60
2012,44,LA GUAJIRA,5500.98
2012,47,MAGDALENA,4841.96
2012,50,META,21963.80
2012,52,NARIÑO,4932.62
2012,54,NORTE DE SANTANDER,5462.09
2012,86,PUTUMAYO,1805.61
2012,63,QUINDÍO,3189.82
2012,66,RISARALDA,5547.30
2012,88,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",236.90
2012,68,SANTANDER,32509.05
2012,70,SUCRE,2681.65
2012,73,TOLIMA,8939.29
2012,76,VALLE DEL CAUCA,39130.48
2012,97,VAUPÉS,63.45
2012,99,VICHADA,243.14
2013,91,AMAZONAS,196.17
2013,05,ANTIOQUIA,60119.33
2013,81,ARAUCA,3489.42
2013,08,ATLÁNTICO,15530.87
2013,11,BOGOTÁ D.C.,97468.43
2013,13,BOLÍVAR,15745.07
2013,15,BOYACÁ,11534.10
2013,17,CALDAS,5855.58
2013,18,CAQUETÁ,1583.84
2013,85,CASANARE,2711.34
2013,19,CAUCA,7626.96
2013,20,CESAR,8945.72
2013,27,CHOCÓ,2101.23
2013,25,CUNDINAMARCA,28129.53
2013,23,CÓRDOBA,6315.86
2013,94,GUAINÍA,129.78
2013,95,GUAVIARE,276.38
2013,41,HUILA,7733.10
2013,44,LA GUAJIRA,5416.90
2013,47,MAGDALENA,5009.66
2013,50,META,24434.28
2013,52,NARIÑO,5320.84
2013,54,NORTE DE SANTANDER,5939.80
2013,86,PUTUMAYO,2259.52
2013,63,QUINDÍO,3167.13
2013,66,RISARALDA,6065.03
